Phrase en Anglais;Phrases en français
Hunt #25.;
Hunt #26.;
Hunt #27.;
Hunt #28.;
Hunt #29.;
Hunt #30.${prompt};
The information on this page instructs you to defeat the following:${prompt};
Scylds required: ${number: 0} (Balance: ${number: 1});
Elusiveness: ${choice: 2}[â˜†â˜†â˜†â˜†â˜†â˜†â˜†â˜†â˜†â˜†/â˜…â˜†â˜†â˜†â˜†â˜†â˜†â˜†â˜†â˜†/â˜…â˜…â˜†â˜†â˜†â˜†â˜†â˜†â˜†â˜†/â˜…â˜…â˜…â˜†â˜†â˜†â˜†â˜†â˜†â˜†/â˜…â˜…â˜…â˜…â˜†â˜†â˜†â˜†â˜†â˜†/â˜…â˜…â˜…â˜…â˜…â˜†â˜†â˜†â˜†â˜†/â˜…â˜…â˜…â˜…â˜…â˜…â˜†â˜†â˜†â˜†/â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜†â˜†â˜†/â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜†â˜†/â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜†/â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜…];
Ferocity: ${choice: 3}[â˜†â˜†â˜†â˜†â˜†â˜†â˜†â˜†â˜†â˜†/â˜…â˜†â˜†â˜†â˜†â˜†â˜†â˜†â˜†â˜†/â˜…â˜…â˜†â˜†â˜†â˜†â˜†â˜†â˜†â˜†/â˜…â˜…â˜…â˜†â˜†â˜†â˜†â˜†â˜†â˜†/â˜…â˜…â˜…â˜…â˜†â˜†â˜†â˜†â˜†â˜†/â˜…â˜…â˜…â˜…â˜…â˜†â˜†â˜†â˜†â˜†/â˜…â˜…â˜…â˜…â˜…â˜…â˜†â˜†â˜†â˜†/â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜†â˜†â˜†/â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜†â˜†/â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜†/â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜…â˜…];
Reward: ${number: 4} ${choice-plurality: 4}[scyld/scylds]${prompt};
Accept hunt? (Current scylds: ${number: 0});
${selection-lines};
Yes.;
No.${prompt};
Hunt accepted!${prompt};
You use ${number: 0} ${choice-plurality: 0}[scyld/scylds].;
Scyld balance: ${number: 1}.${prompt};
You do not have enough scylds.${prompt};
The hunt registry is a tome through which seasoned adventurers can undertake assignments to eliminate monsters deemed to be impediments to A.M.A.N. activities.${prompt};
The hunt registry is a tome through which veteran soldiers can undertake assignments to eliminate monsters deemed to be impediments to S.M.A.N. activities.${prompt};
Assignments, or â€œhunts,â€ can be undertaken simply by selecting the name of a monster listed in the registry.${prompt};
Pertinent information such as monster elusiveness and ferocity has been recorded for your reference.;
As safety cannot be guaranteed, we ask that you hunt within your ability.${prompt};
Hunts pit you against creatures of extreme ferocity, and are not intended for training.;
For this reason, you cannot undertake a hunt while a training regime is active.${prompt};
Should party members undertaking a common hunt defeat the objective, the kill will be considered valid for all.${prompt};
Upon the completion of a hunt, record your success in a hunt registry.;
Doing so will earn you rewards corresponding to difficulty as well as â€œscyldsâ€--tokens of your valor.${prompt};
More scylds will grant you access to increasingly difficult and rewarding assignments.;
Be warned, however, that once expended, scylds will not be refunded for any reason.${prompt};
Lastly, please note that a mandatory cool-down period will be imposed upon all hunters following the completion of a hunt. Until this time has elapsed, you will not be permitted to undertake another hunt.${prompt};
You record your hunt.;
${color-alt: 121}You obtain ${article} ${item-article: 0[2]}!;
You obtain ${number: 0} ${choice-plurality: 0}[scyld/scylds]!;
Current balance: ${number: 1} ${choice-plurality: 1}[scyld/scylds].;
The status of your current hunt is as follows.${prompt};
Cancel hunt?;
${selection-lines};
Yes.;
No.${prompt};
Are you certain?;
${selection-lines};
Yes.;
No.${prompt};
Hunt canceled.${prompt};
You currently possess ${number: 0} ${choice-plurality: 0}[scyld/scylds].${prompt};

You want to make ${article} ${item-article: 0[2]}?;
In case you didn't already know, a volatile objectaru like that needs to be kept in a special container.${prompt};
Such a container can be synthesized if you have two ${item-plural: 0[2]} and ${article} ${item-article: 1[2]}.;
And if my memory serves me true, ${article} ${item-article: 2[2]} serves as the bonding agentaru.${prompt};
${lettercase: 1}${item-plural: 0[2]}, I hear, can be had within the Maze of Shakhrami. Not lying scattered about the floors, obviously.;
One of the crawlers there might be willing to partaru with one, but if not...well, you adventuring types know what to do.${prompt};
Oh, did I mention ${item-plural: 1[2]}?;
Naturally, to synthesize ${article} ${item-article: 0[2]}, you'll be needing one of those, too.${prompt};
You wish to synthesize ${article} ${item-article: 0[2]}? Ah, yes. Well do I know that recipe!;
Its creation requires a few ${item-plural: 1[2]}.${prompt};
In turn, making ${article} ${item-article: 0[2]} requires ${article} ${item-article: 1[2]} and ${article} ${item-article: 2[2]}.;
Toss ${article} ${item-article: 3[2]} into the mix, and what you seek shall be yours.${prompt};
I fear we haven't ${item-plural: 0[2]} here. But it should please you to know that skeletons dwelling within the Gusgen Mines are known to drop one on occasion.${prompt};
What brings you here? Well, ${article} ${item-article: 0[2]}, of all things...;
You couldn't hope to make one without some ${item-plural: 1[2]}, but I fear they aren't often stocked by vendors.${prompt};
But you strike me as an intrepid type, so I'll share with you some knowledge to help you on your way.;
Head over to Ordelle's Caves. Hunt enough bats there, and you might just come into some ${item-plural: 0[2]}. That's the main ingredient required to make ${article} ${item-article: 1[2]}.${prompt};
All that remains, then, is to bind it with ${article} ${item-article: 0[2]} using ${article} ${item-article: 2[2]}. Good luck!${prompt};
You... Yes, the description fits.;
I daresay, you're the one â€œsheâ€ sent, yes?${prompt};
Can I count on you to aid my investigation once more?${prompt};
At my client's behest, I have procured the item you require. But alas, doing so drained far more of my time and resources than had been reckoned. As recompense for having exerted undue effort, I would ask a favor of you. Do as I say, and you may consider the item yours.${prompt};
Do as he says?;
${selection-lines};
Yes.;
No.${prompt};
Very good. I knew I could count on us being on the same page.;
Now then, without further ado, I shall explain the task to you. It truly is simple.${prompt};
You are to investigate a number of creatures dwelling within the Sea Serpent Grotto in my stead.${prompt};
Should you not possess ${article} ${item-article: 0[2]} and ${item-plural: 1[2]}, I can furnish you with both for a nominal fee of 800 gil.${prompt};
Using the ${item-singular: 0[2]} will turn ${article} ${item-article: 1[2]} into ${article} ${item-article: 2[2]}--a visual record of the subject's physical characteristics.${prompt};
I'm currently investigating the ${entity: 0}, the ${entity: 1}, and the ${entity: 2}.${prompt};
Hm? It appears you are overburdened.;
Speak with me again after you've reorganized your belongings.${prompt};
That is most disappointing...;
â€œSheâ€ would not be pleased to hear of this.${prompt};
Ah, yes...${prompt};
A truly menacing image of the ${entity: 0}!;
All that remains, then, is one each of the ${entity: 1} and the ${entity: 2}.${prompt};
Do you require ${article} ${item-article: 1[2]} and ${item-plural: 2[2]}?;
I can provide you with both for a nominal fee of 800 gil.${prompt};
Buy for 800 gil? (You have ${number: 3});
${selection-lines};
Yes, please.;
No, thank you.${prompt};
Should you not possess ${article} ${item-article: 0[2]} and ${item-plural: 1[2]}, I can furnish you with both for a nominal fee.;
I've recently depleted my stores, however, so you will have to wait until the next shipment arrives.${prompt};
It appears you haven't enough gil.${prompt};
Ah, a positively imposing image of the ${entity: 0}!;
All that remains, then, is one of the ${entity: 1}.${prompt};
I've eagerly awaited your return.;
With this image of the ${entity: 0}, I hold your task fulfilled.${prompt};
As promised, I relinquish this to you.;
Should another be required, you shall find me here.${prompt};
I need images of the ${entity: 0}, the ${entity: 1}, and the ${entity: 2}.${prompt};
You've yet to bring me images of the ${entity: 0} and the ${entity: 1}.${prompt};
You've yet to bring me an image of the ${entity: 0}.${prompt};
A fine image this is, but this creature isn't one of my investigation subjects.${prompt};
I fear I haven't the time to trade pleasantries with random strangers. Please leave me be.${prompt};
Is there something else you wish of me?;
You already have what you came for, no?${prompt};
We don't know what you're doing here, but truth be told, we're not really interested.${prompt};
Putting up a fight, eh?;
Gorattz! Bompupu! Show ${choice-player-gender}[him/her] what the Tenshodo thinks of meddlesome adventurers!${prompt};
D-damn... I'm in way over my head...${prompt};
Ugh... ${choice-player-gender}[He/She]'s tougher than ${choice-player-gender}[he/she] looks...${prompt};
Waaah! I didn't signy-wign up for this...${prompt};
${choice: 0}[Renfred/Gorattz/Bompupu]'s shadow image disappears...${prompt};
The ${choice: 0}[Skeleton Scuffler/Blest Bones/Holey Horror/Steely Weapon/Lode Golem/Fired Urn] fades away into nothingness...${prompt};
The power of the Great Star Tree has been released!${prompt};
We warmly welcome you to the place of your unmaking.${prompt};
From your ground bones, a loaf of bread we shall be baking.${prompt};
We shall curse you unto death!;
Prepare to breathe your final breath!${prompt};
We will make you beg to die!;
Six fulms under you will lie!${prompt};
Naughty children shall receive no quarter!;
Curl up and die, this is your empress's order!${prompt};
You've long overstayed your welcome!;
The punishment will be brutal and gruesome!${prompt};
Which way do you like it--slow or fast?;
Should you lose a limb, be not aghast!${prompt};
You'll wish you were never born!;
From your torso limbs will be torn!${prompt};
Steel yourself for a wicked fright!${prompt};
We shall set your pants alight!${prompt};
The world shall bow before our might!${prompt};
H-how could this be?;
This outcome, we did not foresee...${prompt};
Be this a dream? Or is it real?;
This ending falls sorely short of ideal...${prompt};
'Twas high time you were made to know;
that your abilities are purely for show.;
Oï½žhohohohoho!${prompt};
A fitting end for a talentless crew;
that tried to bite off more than it could chew.;
Oï½žhohohohoho!${prompt};
Your body absorbs the power held within the ancient runes!${prompt};
You cannot enter this battlefield with ${keyitem-article: 0[2]} in your possession.${prompt};
It appears you must wait longer to commence the battle.${prompt};
You are not in possession of ${keyitem-article: 0[2]}.;
Unable to enter the battlefield for â€œ${choice: 1}${choice: 1}[Sugar-coated Directive/Battaru Royale/Project: Shantottofication].â€${prompt};
You cannot enter the battlefield for â€œ${choice: 1}${choice: 1}[Sugar-coated Directive/Battaru Royale/Project: Shantottofication]â€ with ${keyitem-article: 0[2]} in your possession.${prompt};
The ${keyitem-singular: 0[2]} has no effect.;
It appears you should come back later.${prompt};
You are not in possession of a sap crystal.;
Unable to enter the battlefield for â€œBattaru Royale.â€${prompt};
The sap crystal has no effect.;
More time must elapse before you can enter the battlefield for â€œBattaru Royale.â€${prompt};
You are not in possession of a Tablet of Hexes.;
Unable to enter the battlefield for â€œProject: Shantottofication.â€${prompt};
The Tablet of Hexes has no effect.;
More time must elapse before you can enter the battlefield for â€œProject: Shantottofication.â€${prompt};
The door is sealed.${prompt};
Your opponents deem you too weak to be worthwhile, disappearing whence they came.${prompt};
For your own safety, it is recommended that you set this location as your home point after changing jobs.${prompt};

###### ZM 1-1: début CS ######

Hold it right there, buddy. This ain't no cafÃ©. What business do you have here?${prompt};Attendez un peu, l'ami. Que faites vous ici?${prompt}
You finally made it, ${name-player}.${prompt};Vous voila enfin ${name-player}.${prompt}
Lion!${prompt};Lion!${prompt}
You don't have to worry about ${name-player}. ${choice-player-gender}[He's/She's] okay.;Ne vous en faite pas pour ${name-player}. Vous pouvez  ${choice-player-gender}[le/la] laisser passer.
Anyway, I thought you guys welcomed adventurers.${prompt};Et puis, les aventuriers sont les bienvenus à Norg, non? Je vais m'occuper de ${choice-player-gender}[lui/elle].${prompt}
Understood.${prompt};Compris. Je vous laisse.${prompt}
Well, for starters, I should welcome you to Norg.${prompt};Pour commencer, je vous souhaite la bienvenue à Norg.${prompt}
However, as much as I'd like to sit down and talk about old times over a bottle of 813 Rolanberry, we must first face our new problem with Kam'lanaut.${prompt};J'aimerais fêter nos retrouvailles autour d'une bouteille de Rolanberry 813, mais nous devons d'abord nous occuper de notre nouveau problème concernant Kam'lanaut.${prompt}
You mean you don't remember what happened at Castle Zvahl?${prompt};…. Quoi? Vous voulez dire que vous ne vous souvenez plus de ce qui est arrivé au Château Zyahl?${prompt}
.......${name-player}......;.......${name-player}......
Are yo......lright......${name-player}......${wait-animation: 3};Vous allez…. bien... ${name-player}......${wait-animation: 3}
It all began with a stone, or so the legend says.${prompt};La légende raconte que tout commença avec une pierre.${prompt}
In ages past, a sentient jewel, enormous and beautiful, banished the darkness. Its many-colored light filled the world with life and brought forth mighty gods.${prompt};En des temps reculés, un immense joyau étincelant bannit les ténèbres. Sa lumière multicolore apporta la vie sur terre et donna naissance à de puissants dieux.${prompt}
Bathed in that light, the world entered an age of bliss until, after a time, the gods fell into slumber. That world was called Vana'diel.${prompt};Baigné dans sa clarté, le monde entra dans un âge béni, et les dieux finirent par tomber dans un sommeil paisible. Ce monde s'appelait Vana'diel.${prompt}
The legend goes on to say...;La légende continue ainsi…
From the darkest depths of the earth the Warriors of the Crystal rose...${prompt};Des profondeurs les plus obscures émergèrent les Guerriers du Cristal…${prompt}
Do you remember?${prompt};Vous vous souvenez?${prompt}
Yes... I do now.${prompt};Oui… Je m'en souviens maintenant.${prompt}
Raogrimm, it is good to have you back. How has all this come to be?${prompt};Raogrimm, c'est bon de vous retrouver. Comment tout cela est-il arrivé ? ${prompt}
As you know, I was the Talekeeper of the Galka--the keeper of our race's memories. But there was so much pain, so much anger...${prompt};Comme vous le savez, j'étais le conteur des Galka, le gardien des souvenirs de notre race. Mais il y avait tant de douleur, tant de colère...${prompt}
I let myself become trapped in a dark abyss of swirling rage and madness...${prompt};Je me suis laissé piéger dans un sombre abîme de rage et de folie... ${prompt}
Raogrimm...${prompt};Raogrimm...${prompt}
People are capable of kindness beyond angels, yet we also commit sins that would put a demon to shame...${prompt};Les gens sont capables de bonté au-delà des anges, pourtant nous commettons aussi des péchés qui feraient honte à un démon... ${prompt}
We all stand precariously on the edge between darkness and light... And when we fall, we are greeted by only madness and chaos.${prompt};Nous sommes tous en équilibre précaire sur le bord entre les ténèbres et la lumière... Et quand nous tombons, nous ne sommes accueillis que par la folie et le chaos. ${prompt}
